Data In (From Silicon Labs CP210x USB to UART Bridge (COM5)),,,,,,,,,,
Data coming from the current data source will appear below as it is received.,,,,,,,,,,
Current Data,,,,,,,,,,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10
7:11:16.50,System Mode: IDLE,,,,,,,,,
Historical Data,,,,,,,,,,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10
7:11:13.87,Frequency= 0.43 Hz,Magnitude= 0.07 ??C,,,,,,,,
7:11:14.07,Frequency= 0.43 Hz,Magnitude= 0.14 ??C,,,,,,,,
7:11:14.27,Frequency= 0.44 Hz,Magnitude= 0.15 ??C,,,,,,,,
7:11:14.48,Frequency= 0.44 Hz,Magnitude= 0.20 ??C,,,,,,,,
7:11:14.68,Frequency= 0.45 Hz,Magnitude= 0.21 ??C,,,,,,,,
7:11:14.88,Frequency= 0.45 Hz,Magnitude= 0.14 ??C,,,,,,,,
7:11:15.07,Frequency= 0.46 Hz,Magnitude= 0.12 ??C,,,,,,,,
7:11:15.28,Frequency= 0.46 Hz,Magnitude= 0.15 ??C,,,,,,,,
7:11:15.48,Frequency= 0.47 Hz,Magnitude= 0.03 ??C,,,,,,,,
7:11:15.68,Frequency= 0.48 Hz,Magnitude= 0.06 ??C,,,,,,,,
7:11:15.88,Frequency= 0.48 Hz,Magnitude= 0.16 ??C,,,,,,,,
7:11:16.08,Frequency= 0.49 Hz,Magnitude= 0.08 ??C,,,,,,,,
7:11:16.28,Frequency= 0.49 Hz,Magnitude= 0.09 ??C,,,,,,,,
7:11:16.48,Average frequency = 0.1416 Hz,,,,,,,,,
7:11:16.50,System Mode: IDLE,,,,,,,,,
